ROK,WEB_PUBL_DATE,MENA,R1_AREA,R1_POPIS_LNG,S1_POPIS_LNG,H_HODNOTA_PUBL
2019,2021-03-16 10:00:00,CZK,JP,Japan,Registered capital,23743.354436
2019,2021-03-16 10:00:00,EUR,JP,Japan,Registered capital,934.409855804801
2019,2021-03-16 10:00:00,USD,JP,Japan,Registered capital,1049.61559771893
2020,2022-03-23 10:00:00,CZK,JP,Japan,Registered capital,25737.6588414449
2020,2022-03-23 10:00:00,EUR,JP,Japan,Registered capital,980.669035680887
2020,2022-03-23 10:00:00,USD,JP,Japan,Registered capital,1203.42539119301
2021,2023-03-23 10:00:00,CZK,JP,Japan,Registered capital,21602.0861204984
2021,2023-03-23 10:00:00,EUR,JP,Japan,Registered capital,868.949562369203
2021,2023-03-23 10:00:00,USD,JP,Japan,Registered capital,984.104875427014
2014,2016-03-22 10:00:00,CZK,JP,Japan,Reinvestment of earnings,6873.32474
2014,2016-03-22 10:00:00,EUR,JP,Japan,Reinvestment of earnings,247.910721009919
2014,2016-03-22 10:00:00,USD,JP,Japan,Reinvestment of earnings,301.012732766927
2015,2017-03-21 10:00:00,CZK,JP,Japan,Reinvestment of earnings,8645.473546
2015,2017-03-21 10:00:00,EUR,JP,Japan,Reinvestment of earnings,319.906514190564
2015,2017-03-21 10:00:00,USD,JP,Japan,Reinvestment of earnings,348.270768047051
2016,2018-03-16 10:00:00,CZK,JP,Japan,Reinvestment of earnings,11906.57719
2016,2018-03-16 10:00:00,EUR,JP,Japan,Reinvestment of earnings,440.657927091044
2016,2018-03-16 10:00:00,USD,JP,Japan,Reinvestment of earnings,464.3931974726
2017,2019-03-15 10:00:00,CZK,JP,Japan,Reinvestment of earnings,13612.414896
2017,2019-03-15 10:00:00,EUR,JP,Japan,Reinvestment of earnings,532.984138449491
2017,2019-03-15 10:00:00,USD,JP,Japan,Reinvestment of earnings,639.350659715373
2018,2020-03-13 10:00:00,CZK,JP,Japan,Reinvestment of earnings,15117.800435
2018,2020-03-13 10:00:00,EUR,JP,Japan,Reinvestment of earnings,587.669599028183
2018,2020-03-13 10:00:00,USD,JP,Japan,Reinvestment of earnings,672.919097080032
2019,2021-03-16 10:00:00,CZK,JP,Japan,Reinvestment of earnings,16380.844543
