"","cal_yr","gp","country","npos","nneg","nneu","nmention","log_senti","add_senti"
"152",2015,"UK","Hungary",57,22,103,182,0.93826963859293,0.192307692307692
"153",2015,"FR","Hungary",63,8,102,173,2.01097374240238,0.317919075144509
"154",2015,"CN","Hungary",32,24,56,112,0.28256697178501,0.0714285714285714
"155",2016,"OTHER","Hungary",36910,36718,66015,139643,0.00521534816981096,0.00137493465479831
"156",2016,"DE","Hungary",85,113,132,330,-0.283286460978743,-0.0848484848484849
"157",2016,"USA","Hungary",96,40,219,355,0.868241034232447,0.157746478873239
"158",2016,"RU","Hungary",154,50,97,301,1.11822076005649,0.345514950166113
"159",2016,"FR","Hungary",47,4,69,120,2.35665231426432,0.358333333333333
"160",2016,"UK","Hungary",88,42,128,258,0.733498476083513,0.178294573643411
"161",2016,"CN","Hungary",38,32,50,120,0.169418151958047,0.05
"162",2017,"OTHER","Hungary",32290,31065,58637,121992,0.0386751906502628,0.0100416420748902
"163",2017,"DE","Hungary",77,86,112,275,-0.109866477578532,-0.0327272727272727
"164",2017,"USA","Hungary",123,54,178,355,0.818040454398833,0.194366197183099
"165",2017,"FR","Hungary",35,4,41,80,2.0654552997051,0.3875
"166",2017,"RU","Hungary",308,122,130,560,0.923610813360661,0.332142857142857
"167",2017,"UK","Hungary",53,26,79,158,0.702536920909784,0.170886075949367
"168",2017,"CN","Hungary",38,38,49,125,0,0
"169",2018,"OTHER","Hungary",26600,27529,49252,103381,-0.034328144381026,-0.00898617734399938
"170",2018,"RU","Hungary",210,67,155,432,1.13735805524395,0.331018518518519
"171",2018,"USA","Hungary",86,55,137,278,0.443761393185445,0.111510791366906
"172",2018,"DE","Hungary",88,81,77,246,0.0823995317670668,0.0284552845528455
"173",2018,"UK","Hungary",57,23,77,157,0.894784526653191,0.21656050955414
"174",2018,"FR","Hungary",20,3,45,68,1.76766191764899,0.25
"175",2018,"CN","Hungary",33,40,97,170,-0.189756535281473,-0.0411764705882353
"176",2019,"OTHER","Hungary",27882,36984,56839,121705,-0.282499654067707,-0.0747873957520233
"177",2019,"USA","Hungary",90,42,225,357,0.755845774775509,0.134453781512605
"178",2019,"UK","Hungary",84,41,162,287,0.711058107126476,0.149825783972125
"179",2019,"DE","Hungary",85,74,86,245,0.137717250557201,0.0448979591836735
"180",2019,"FR","Hungary",24,3,45,72,1.94591014905531,0.291666666666667
"181",2019,"CN","Hungary",52,30,31,113,0.543086485984212,0.194690265486726
"182",2019,"RU","Hungary",299,94,144,537,1.15351458305581,0.381750465549348
"183",2020,"OTHER","Hungary",35190,43626,72443,151259,-0.214888604071095,-0.0557718879537746
"184",2020,"CN","Hungary",169,118,113,400,0.357939966245319,0.1275
"185",2020,"FR","Hungary",94,7,103,204,2.53369681395743,0.426470588235294
"186",2020,"RU","Hungary",179,65,138,382,1.00812506528713,0.298429319371728
"187",2020,"DE","Hungary",101,95,144,340,0.0609325509951575,0.0176470588235294
"188",2020,"USA","Hungary",61,20,142,223,1.09861228866811,0.183856502242152
"189",2020,"UK","Hungary",62,16,106,184,1.33180617583582,0.25
"190",2021,"OTHER","Hungary",29014,51480,66665,147159,-0.573407390162347,-0.152664804735015
"191",2021,"DE","Hungary",82,78,91,251,0.0496996685522725,0.0159362549800797
"192",2021,"RU","Hungary",211,72,153,436,1.0706384366257,0.318807339449541
"193",2021,"CN","Hungary",308,116,327,751,0.973830570339687,0.255659121171771
"194",2021,"USA","Hungary",67,88,120,275,-0.2708749541354,-0.0763636363636364
"195",2021,"FR","Hungary",51,3,97,151,2.68881883917432,0.317880794701987
"196",2021,"UK","Hungary",22,10,42,74,0.762140052046897,0.162162162162162
"197",2022,"OTHER","Hungary",2211,1711,3005,6927,0.256300839338141,0.07218131947452
"198",2022,"RU","Hungary",220,45,43,308,1.57818536893,0.568181818181818
"199",2022,"DE","Hungary",5,4,6,15,0.200670695462151,0.0666666666666667
"200",2022,"CN","Hungary",3,1,1,5,0.847297860387204,0.4
"201",2022,"USA","Hungary",3,0,2,5,1.94591014905531,0.6
"202",2022,"FR","Hungary",2,1,1,4,0.510825623765991,0.25
"203",2022,"UK","Hungary",0,1,2,3,-1.09861228866811,-0.333333333333333
