"","cal_yr","gp","country","npos","nneg","nneu","nmention","log_senti","add_senti"
"142",2013,"USA","Czechia",13,7,27,47,0.587786664902119,0.127659574468085
"143",2013,"UK","Czechia",12,17,27,56,-0.336472236621213,-0.0892857142857143
"144",2013,"DE","Czechia",38,60,55,153,-0.451985123743057,-0.143790849673203
"145",2013,"FR","Czechia",17,9,268,294,0.610909082322973,0.0272108843537415
"146",2013,"CN","Czechia",8,9,25,42,-0.111225635110224,-0.0238095238095238
"147",2013,"RU","Czechia",14,5,8,27,0.969400557188103,0.333333333333333
"148",2014,"OTHER","Czechia",16232,35331,39382,90945,-0.777759511904834,-0.210006047611194
"149",2014,"USA","Czechia",75,40,151,266,0.622830682142486,0.131578947368421
"150",2014,"UK","Czechia",39,38,35,112,0.0256424306133377,0.00892857142857143
"151",2014,"DE","Czechia",58,149,95,302,-0.93826963859293,-0.301324503311258
"152",2014,"FR","Czechia",27,20,59,106,0.293761118528163,0.0660377358490566
"153",2014,"RU","Czechia",492,204,251,947,0.878926485129287,0.304118268215417
"154",2014,"CN","Czechia",33,41,66,140,-0.214147988405632,-0.0571428571428571
"155",2015,"OTHER","Czechia",17352,34783,41044,93179,-0.695406548178861,-0.187070047972183
"156",2015,"FR","Czechia",75,36,91,202,0.726820395666533,0.193069306930693
"157",2015,"DE","Czechia",128,217,168,513,-0.526269946193464,-0.173489278752437
"158",2015,"CN","Czechia",12,31,36,79,-0.924258901523332,-0.240506329113924
"159",2015,"USA","Czechia",86,56,167,309,0.425903775785438,0.0970873786407767
"160",2015,"UK","Czechia",41,51,57,149,-0.215888380433038,-0.0671140939597315
"161",2015,"RU","Czechia",195,106,127,428,0.607415394275941,0.207943925233645
"162",2016,"OTHER","Czechia",18463,37907,44839,101209,-0.719353171456634,-0.192117301820984
"163",2016,"DE","Czechia",122,270,206,598,-0.792161068301754,-0.247491638795987
"164",2016,"USA","Czechia",105,84,167,356,0.221959418552993,0.0589887640449438
"165",2016,"UK","Czechia",93,158,131,382,-0.527793157022694,-0.170157068062827
"166",2016,"FR","Czechia",73,48,140,261,0.415721608275353,0.0957854406130268
"167",2016,"RU","Czechia",82,64,69,215,0.246133069538909,0.0837209302325581
"168",2016,"CN","Czechia",152,146,201,499,0.0401391675903443,0.0120240480961924
"169",2017,"OTHER","Czechia",15357,29816,35474,80647,-0.663457977500126,-0.179287512244721
"170",2017,"USA","Czechia",148,69,158,375,0.759258205672008,0.210666666666667
"171",2017,"UK","Czechia",61,52,117,230,0.158224005214894,0.0391304347826087
"172",2017,"FR","Czechia",77,51,214,342,0.408696128689611,0.0760233918128655
"173",2017,"DE","Czechia",81,103,103,287,-0.238968592458607,-0.0766550522648084
"174",2017,"CN","Czechia",26,32,14,72,-0.204095356343515,-0.0833333333333333
"175",2017,"RU","Czechia",64,26,47,137,0.88952049080955,0.277372262773723
"176",2018,"OTHER","Czechia",17996,34586,40176,92758,-0.653286137970875,-0.178852497897755
"177",2018,"DE","Czechia",114,168,96,378,-0.386360926798122,-0.142857142857143
"178",2018,"UK","Czechia",45,67,77,189,-0.394415271921579,-0.116402116402116
"179",2018,"FR","Czechia",71,26,331,428,0.992552716707785,0.105140186915888
"180",2018,"RU","Czechia",185,114,130,429,0.482480059053195,0.165501165501166
"181",2018,"CN","Czechia",35,22,16,73,0.456017387270996,0.178082191780822
"182",2018,"USA","Czechia",123,71,193,387,0.54654370636807,0.134366925064599
"183",2020,"OTHER","Czechia",18750,34486,44561,97797,-0.609347524382427,-0.160904731228974
"184",2019,"OTHER","Czechia",21122,38079,47221,106422,-0.589337256539998,-0.159337355058165
"185",2019,"DE","Czechia",107,169,118,394,-0.455362079252788,-0.157360406091371
"186",2019,"FR","Czechia",50,36,110,196,0.324661075692868,0.0714285714285714
"187",2019,"UK","Czechia",88,85,132,305,0.0344861760711694,0.00983606557377049
"188",2019,"CN","Czechia",110,116,90,316,-0.0528757520479478,-0.0189873417721519
"189",2019,"RU","Czechia",136,76,147,359,0.579033873792524,0.167130919220056
"190",2019,"USA","Czechia",76,65,142,283,0.155240598191284,0.03886925795053
"191",2020,"CN","Czechia",171,122,94,387,0.336472236621213,0.126614987080103
"192",2020,"DE","Czechia",140,225,150,515,-0.473112670168933,-0.16504854368932
"193",2020,"FR","Czechia",80,25,96,201,1.14957873226014,0.27363184079602
"194",2020,"USA","Czechia",112,54,143,309,0.724752519975276,0.187702265372168
"195",2020,"UK","Czechia",39,31,44,114,0.226313126075489,0.0701754385964912
"196",2020,"RU","Czechia",185,117,144,446,0.456616548463276,0.152466367713004
"197",2021,"OTHER","Czechia",17067,27000,36571,80638,-0.458679314041084,-0.12318013839629
"198",2021,"CN","Czechia",93,45,47,185,0.720249110337737,0.259459459459459
"199",2021,"UK","Czechia",43,31,51,125,0.322773392263051,0.096
"200",2021,"USA","Czechia",71,43,87,201,0.496936511605324,0.139303482587065
"201",2021,"RU","Czechia",309,172,182,663,0.584560855653236,0.206636500754148
"202",2021,"FR","Czechia",42,18,60,120,0.831733343846092,0.2
"203",2021,"DE","Czechia",89,140,91,320,-0.450968863492991,-0.159375
