"","year","country.x","gp","npos","nneg","nneu","nmention","log_senti","add_senti","import","export","merleg","eu","n_merleg","n_import","n_export","leftright","valasztasi_ev"
"102","2001","Hungary","CN",9,12,7,28,-0.27443684570176,-0.107142857142857,1333574,112698,-1220876,0,0.84779839315936,-0.963688413408505,-1.02052287804986,1,1
"103","2002","Czechia","RU",26,15,44,85,0.536304709066976,0.129411764705882,3262127.89,592707.09,-2669420.8,0,-0.736182243280106,-0.425760387793386,-1.00493701282146,0,0
"104","2002","Czechia","FR",28,20,278,326,0.329479201130242,0.0245398773006135,2235029.404,2015192.95,-219836.454,0,-0.967807751595333,-0.684605504186544,-0.862085098988445,0,0
"105","2002","Czechia","CN",3,1,0,4,0.847297860387204,0.5,2151254.396,153821.833,-1997432.563,0,0.809899205055669,-0.818045932357481,-0.875326605627926,0,0
"106","2002","Czechia","UK",19,18,53,90,0.0526437334854219,0.0111111111111111,1456616.188,2741042.327,1284426.139,0,-0.582489992059837,-0.728036534349507,-0.642746520807694,0,0
"107","2002","Czechia","USA",52,30,161,243,0.543086485984212,0.0905349794238683,1512896.929,1524845.386,11948.4569999999,0,0.513853520597473,-0.69840008142102,-0.497841349558945,0,0
"108","2002","Czechia","DE",41,36,91,168,0.128381166648207,0.0297619047619048,14882863.566,15442115.586,559252.02,0,-0.930021852359402,-0.77067092419912,-0.84592854689689,0,0
"109","2002","Hungary","UK",10,11,12,33,-0.0909717782057268,-0.0303030303030303,1069007,1615087,546080,0,-0.851319855324907,-0.742286356255284,-0.852120235842495,0,0
"110","2002","Hungary","USA",51,37,99,187,0.317240874693325,0.0748663101604278,1379103,1199374,-179729,0,-1.27895453619027,-0.287245038641704,-0.844775751071718,0,0
"111","2002","Hungary","FR",14,4,56,74,1.17007125265025,0.135135135135135,1808097,1945066,136969,0,-0.535961919153754,-0.811125874144378,-0.801717715690425,0,0
"112","2002","Hungary","RU",50,32,40,122,0.440733246945622,0.147540983606557,2283973,454853,-1829120,0,0.506769965323604,-0.831256219631876,-1.1819560877526,0,0
"113","2002","Hungary","DE",33,33,37,103,0,0,9144482,12162077,3017595,0,0.460923873191766,-0.977382164655235,-0.806899888791211,0,0
"114","2002","Hungary","CN",3,1,1,5,0.847297860387204,0.4,2084885,154693,-1930192,0,0.491277232592704,-0.689993609011342,-0.975817686699303,0,0
"115","2003","Croatia","DE",0,0,1,1,0,0,2221010.689,733153.311,-1487857.378,0,1.00588397594579,-1.62419896665675,-1.56101877143196,0,0
"116","2003","Czechia","RU",40,30,62,132,0.283575290499127,0.0757575757575758,2339298.282,584525.768,-1754772.514,0,0.00276333102805155,-0.812597022545276,-1.00920379203163,0,0
"117","2003","Czechia","FR",66,17,97,180,1.33500106673234,0.272222222222222,2525374.276,2303960.266,-221414.01,0,-0.968593746366661,-0.525778921728482,-0.784143878162084,0,0
