"","year","gp","country","log_senti","salience"
"53",2002,"USA","Hungary",-0.226452986215577,2.64069195616768
"54",2002,"CN","Hungary",0.336472236621213,0.0632501067345551
"55",2003,"USA","Hungary",-0.169761362120436,2.09959354661746
"56",2003,"UK","Hungary",0.372675285285174,0.463805700321672
"57",2003,"FR","Hungary",0.960093354532548,1.12211056529437
"58",2003,"DE","Hungary",0.172558054526104,1.72555669151934
"59",2003,"RU","Hungary",0.0296317976063711,0.932598558711318
"60",2003,"CN","Hungary",-0.987386653557885,0.294242326010523
"61",2004,"RU","Hungary",-0.289892018102584,0.906828417987446
"62",2004,"FR","Hungary",1.0028453835761,1.3501667556702
"63",2004,"USA","Hungary",-0.0423792229688614,2.06555361874918
"64",2004,"DE","Hungary",-0.400103164966779,1.79350509335295
"65",2004,"UK","Hungary",-0.367724780125317,0.629741956935726
"66",2004,"CN","Hungary",0.367724780125317,0.231745040152347
"67",2005,"USA","Hungary",-0.0745686954975085,1.48042131627793
"68",2005,"CN","Hungary",0.67347441496124,0.684303508732697
"69",2005,"DE","Hungary",-0.0670354013361583,2.62092716416575
"70",2005,"UK","Hungary",0.634058264189939,0.818480667307735
"71",2005,"RU","Hungary",0.0692917804713919,1.68168705414048
"72",2005,"FR","Hungary",1.48088277979581,1.54303732361294
"73",2006,"RU","Hungary",0.381014012244,1.18175372252423
"74",2006,"CN","Hungary",1.29928298413026,0.334151052575816
"75",2006,"DE","Hungary",-0.321766089231517,1.97230621276457
"76",2006,"FR","Hungary",0.398639143037765,1.19805377386939
"77",2006,"USA","Hungary",-0.249067236324001,2.68950847195169
"78",2006,"UK","Hungary",0.083381608939051,0.431951360646786
"79",2007,"UK","Hungary",0.200670695462151,0.502633900192676
"80",2007,"FR","Hungary",0.652655819205208,0.960917750368352
"81",2007,"DE","Hungary",-0.619039208406224,1.63602406729381
"82",2007,"USA","Hungary",-0.486030965152774,1.68530190064603
"83",2007,"CN","Hungary",0.435318071257845,0.280883650107672
"84",2007,"RU","Hungary",0.449402811139584,1.24672918381125
"85",2008,"UK","Hungary",0.131336002061087,0.75538662605964
"86",2008,"FR","Hungary",0.873895172906469,1.22900205033513
"87",2008,"USA","Hungary",0.343771539102825,2.68581911487872
"88",2008,"DE","Hungary",-0.316911710766719,2.05033512787616
"89",2008,"RU","Hungary",-0.0886656370856563,1.34890468939221
"90",2008,"CN","Hungary",0.716677677970139,1.02516756393808
"91",2009,"USA","Hungary",0.0277795641070757,1.80858201336017
"92",2009,"DE","Hungary",-0.240788015293919,1.60438726991628
"93",2009,"UK","Hungary",-0.0615578929994333,0.515348638215532
"94",2009,"RU","Hungary",-0.198321898140396,1.03069727643106
"95",2009,"FR","Hungary",0.942958978956316,0.734128720476843
"96",2009,"CN","Hungary",0.807091439909163,0.432698384916815
"97",2010,"UK","Hungary",0.278379679789467,0.675682105844174
"98",2010,"USA","Hungary",0.241510428184285,2.20310433102713
"99",2010,"FR","Hungary",0.822139300751049,1.27523101666365
"100",2010,"DE","Hungary",-0.403442862727397,1.55121384862818
"101",2010,"CN","Hungary",0.347196199984189,0.409215923257739
"102",2010,"RU","Hungary",0.019901154317295,1.30378096479791
"103",2011,"RU","Hungary",-0.0454623740767573,1.70526076022618
"104",2011,"USA","Hungary",0.337367491828724,2.03153808980014
"105",2011,"FR","Hungary",0.698749436108615,0.938816844528852
"106",2011,"DE","Hungary",-0.356431605331862,2.34858115532956
"107",2011,"UK","Hungary",0.261758387441989,0.738741123563687
"108",2011,"CN","Hungary",0.56376804303619,0.667945099222167
"109",2012,"UK","Hungary",0.10212949507638,0.666272101273359
"110",2012,"FR","Hungary",1.17587077180524,1.34317620416278
"111",2012,"DE","Hungary",-0.281380854375052,4.09332062218473
"112",2012,"RU","Hungary",-0.22543976357456,2.45953637384953
"113",2012,"CN","Hungary",0.419070760163943,0.418192063565194
"114",2012,"USA","Hungary",0.12334454731753,1.7542802666506
"115",2013,"FR","Hungary",0.942741917961325,1.1365420452296
"116",2013,"RU","Hungary",-0.26761913730585,1.8498672327761
"117",2013,"DE","Hungary",-0.286088446616503,2.67923575226796
"118",2013,"CN","Hungary",0.535142931416697,0.501716758704956
"119",2013,"USA","Hungary",0.166473364553931,1.69628046990723
"120",2013,"UK","Hungary",0.292987124681474,0.938585773087504
"121",2014,"RU","Hungary",0.556189773252143,6.49042678291829
"122",2014,"DE","Hungary",-0.400526826467582,2.80667104126196
"123",2014,"USA","Hungary",0.37700558919979,3.9891111558677
"124",2014,"CN","Hungary",0.0563529365511318,0.864090852981113
"125",2014,"FR","Hungary",0.802346472524937,0.864090852981113
"126",2014,"UK","Hungary",-0.0322608622182214,0.747146226261865
"127",2015,"DE","Hungary",-0.147053417956497,2.32028964388598
"128",2015,"USA","Hungary",0.582605306160122,2.3286964904218
"129",2015,"RU","Hungary",0.329479201130242,2.22501204981337
"130",2015,"FR","Hungary",0.464812664678766,1.12651743579972
"131",2015,"UK","Hungary",0.587786664902119,0.652931747615258
"132",2015,"CN","Hungary",0.187462956294373,0.470783406005851
"133",2016,"USA","Hungary",0.18168278321746,1.86170679874247
"134",2016,"DE","Hungary",-0.22051542890794,2.41670618402796
"135",2016,"RU","Hungary",0.627077433048599,2.06895340464022
"136",2016,"FR","Hungary",0.274042679358462,1.31022006779423
"137",2016,"UK","Hungary",0.570544858467613,1.08892284454748
"138",2016,"CN","Hungary",0.225246601510988,0.702530867449989
"139",2017,"DE","Hungary",-0.0941288447584938,2.52864030701433
"140",2017,"USA","Hungary",0.111225635110224,2.47579091153011
"141",2017,"FR","Hungary",0.486655262838178,0.585408688440618
"142",2017,"RU","Hungary",0.760191683188942,3.29292387247847
"143",2017,"UK","Hungary",0.500381664604907,0.76428356546414
"144",2017,"CN","Hungary",0.0296317976063711,1.39441097316064
"145",2018,"RU","Hungary",0.503956116869473,4.5202876317102
"146",2018,"USA","Hungary",-0.0263173083173734,2.77151713731952
"147",2018,"DE","Hungary",0.221284238724026,3.41546872731175
"148",2018,"UK","Hungary",0.76432345902784,1.31946943439585
"149",2018,"FR","Hungary",0.351397886837889,0.845975618225093
"150",2018,"CN","Hungary",-0.0178576174000065,1.25002367469081
"151",2019,"USA","Hungary",0.410427897450293,3.47987064723251
"152",2019,"UK","Hungary",0.197359434158495,3.2631110277921
"153",2019,"DE","Hungary",0.0256424306133377,3.4447204386746
"154",2019,"FR","Hungary",0.615760516944525,0.849463373482683
"155",2019,"RU","Hungary",0.326534916352155,4.95617940666448
"156",2019,"CN","Hungary",0.675342555926439,1.06036462483011
"157",2020,"CN","Hungary",0.456662886950487,2.9149110952116
"158",2020,"FR","Hungary",0.730887508542792,1.37795797228185
"159",2020,"UK","Hungary",0.741266428904144,1.7003648055401
"160",2020,"DE","Hungary",0.0422895995663386,3.38306348323043
"161",2020,"RU","Hungary",0.514940855911097,2.28334702458242
"162",2020,"USA","Hungary",0.0462510176507557,1.40004063209405
"163",2021,"CN","Hungary",1.08343958380478,6.45969621969129
"164",2021,"RU","Hungary",0.620218917548154,3.72793279451183
"165",2021,"DE","Hungary",-0.227250333266863,2.31070214535857
"166",2021,"USA","Hungary",-0.193259823193522,1.84856171628686
"167",2021,"FR","Hungary",1.2427461902519,1.59695192712559
"168",2021,"UK","Hungary",0.55206858230004,0.62645702607499
